SrNo,Juz,JuzNameArabic,JuzNameEnglish,SurahNo,SurahNameArabic,SurahNameEnglish,SurahMeaning,WebLink,Classification,AyahNo,EnglishTranslation,,ArabicText,ArabicWordCount,ArabicLetterCount,OrignalArabicText
1,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/1,Makki,1,"In the name of Allah, Most Gracious, Most Merciful.",,??? ???? ?????? ??????,4,19,?????? ??????? ???????????? ??????????
2,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/2,Makki,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",,????? ??? ?? ????????,4,18,????????? ??????? ????? ?????????????
3,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/3,Makki,3,"Most Gracious, Most Merciful;",,?????? ??????,2,12,???????????? ??????????
4,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/4,Makki,4,Master of the Day of Judgment.,,???? ??? ?????,3,12,??????? ?????? ????????
5,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/5,Makki,5,"Thee do we worship, and Thine aid we seek.",,???? ???? ????? ??????,4,19,???????? ???????? ?????????? ???????????
6,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/6,Makki,6,"Show us the straight way,",,????? ?????? ????????,3,19,???????? ?????????? ??????????????
7,1,???,Alif Lam Meem,1,???????,Al-Fatiha,The Opening,https://quran.com/1/7,Makki,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",,???? ????? ????? ????? ??? ??????? ????? ??? ???????,9,44,??????? ????????? ?????????? ?????????? ?????? ???????????? ?????????? ????? ????????????
8,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/1,Medani,1,A. L. M.,,???,1,3,???
9,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/2,Medani,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",,??? ?????? ?? ??? ? ??? ? ???? ???????,9,30,??????? ?????????? ??? ?????? ? ????? ? ????? ??????????????
10,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/3,Medani,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",,????? ?????? ?????? ??????? ?????? ???? ??????? ??????,8,47,????????? ??????????? ??????????? ???????????? ?????????? ???????? ????????????? ???????????
11,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/4,Medani,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",,?????? ?????? ??? ???? ???? ??? ???? ?? ???? ???????? ?? ??????,12,52,??????????? ??????????? ????? ???????? ???????? ????? ???????? ???? ???????? ?????????????? ???? ??????????
12,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/5,Medani,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",,????? ??? ???? ?? ???? ? ?????? ?? ????????,9,35,?????????? ?????? ????? ???? ????????? ? ???????????? ???? ??????????????
13,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/6,Medani,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",,?? ????? ????? ???? ????? ???????? ?? ?? ?????? ?? ??????,11,47,????? ????????? ???????? ??????? ?????????? ???????????????? ???? ???? ???????????? ??? ???????????
14,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/7,Medani,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",,??? ???? ??? ?????? ???? ????? ? ???? ??????? ????? ? ???? ???? ????,14,55,?????? ??????? ?????? ??????????? ???????? ?????????? ? ???????? ????????????? ????????? ? ???????? ??????? ???????
15,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/8,Medani,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",,??? ????? ?? ???? ???? ????? ??????? ????? ??? ?? ???????,11,47,?????? ???????? ???? ??????? ??????? ????????? ????????????? ???????? ????? ???? ?????????????
16,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/9,Medani,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",,??????? ???? ?????? ????? ??? ?????? ??? ?????? ??? ??????,10,49,???????????? ??????? ??????????? ??????? ????? ??????????? ?????? ???????????? ????? ???????????
17,1,???,Alif Lam Meem,2,??????,Al-Baqara,The Cow,https://quran.com/2/10,Medani,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",,?? ?????? ??? ?????? ???? ????? ? ???? ???? ???? ??? ????? ??????,13,53,??? ??????????? ?????? ??????????? ??????? ??????? ? ???????? ??????? ??????? ????? ??????? ???????????
